Actual,Predicted
46992.56,40139.86881089558
16923.48,17740.34919406556
3310.76,3696.842660556014
6479.72,8197.741140533903
2251.34,2154.114277547186
11360.43,18867.98433321482
10434.99,12479.067402223107
2036.5,6259.509030826382
40690.53,51682.89388522934
23894.5,20020.08386661963
29099.74,29253.004206941197
5506.4,7464.262318687769
63652.7,60257.08029184669
18898.35,28820.91428660466
1623.93,2073.2705767563507
12686.65,11968.275665145196
4574.92,4635.786169641534
48069.59,47283.0419230775
6477.46,12989.77404676859
4331.2,7584.183396505749
4220.51,5003.272371468639
41411.4,35007.099162818995
25854.8,51818.940591234204
20663.81,18349.840625708413
9248.25,13551.970202962697
934.44,986.7725064270779
3707.05,8999.090617076581
57895.34,45249.926014048106
9226.78,9565.2332507518
13340.14,18654.231657520024
4152.48,4015.169725433224
436.48,351.75319111081353
6708.7,4308.946147828527
62.9,-66.23779786320326
17.31,70.95738121076663
17877.2,16179.204557484094
4312.91,4360.420269814069
3370.8,2544.598084464898
13849.01,16455.15141854047
4448.05,4437.211098318697
20019.69,25923.453292415164
67498.21,64892.25056807071
1050.55,1085.3200608652915
1933.49,1900.8333763990834
6787.93,6486.22611812415
394.52,420.6424706245173
24512.9,26642.346055655715
13620.97,13595.9395274423
740.55,715.4775582695845
81604.24,64771.285851767796
4687.56,4209.731527455631
58658.64,59623.45714079122
18583.43,21913.512011127146
156.0,271.7510684098591
1476.48,2977.1033606229894
841.23,3265.772640718078
4608.23,3002.445258680086
17230.97,13043.779600577285
34688.23,30369.03131590509
12.32,-53.553983497413526
13644.21,21891.755196603735
176.98,507.61095666716164
96.3,672.784796912146
84987.57,86866.02820096073
25656.84,26010.324660081766
4337.72,3026.2718807635174
10532.75,13593.445301595635
1513.61,1587.8901041216866
5065.02,3901.0707542786886
14106.21,16959.121485016927
11.97,-103.35195094938143
6682.5,9543.921018594243
23.94,-169.00552125542322
61342.39,57202.46514641515
15282.66,12019.68374789825
49570.24,53748.7263566523
469.58,3238.6269993312826
45205.4,44462.7466943973
75276.2,66444.79772486884
47756.66,59396.167990723035
160.0,-314.3857712010263
4214.75,4079.2281116406875
19156.45,17450.03368334207
29522.11,28587.75880366488
20215.04,24062.597590859492
9013.81,10193.340423151349
638.3,636.7551753761628
4183.31,5024.423485299185
6971.9,9735.572760905448
37188.83,33989.01713900802
57.78,-49.87988194953688
512.48,1483.4431288543292
5124.74,1792.6528883900226
2250.36,1887.1173626808863
4324.99,4657.906582766101
927.79,1075.3407687801598
618.15,-361.22646574569296
36117.41,35102.09367849936
1896.61,3625.1447715282375
48.0,395.5207441671151
1889.92,1761.999216249793
6623.61,11429.800814682456
2185.25,2384.269713403816
5378.7,8768.662862144156
25177.96,23135.794415812943
17792.55,18116.339320450035
87086.81,85152.6597783908
25293.05,24935.118752851307
7.97,-116.31610156404733
3142.61,2836.096181381862
23400.88,21057.994883401483
14468.91,12471.005547485314
53988.6,53686.301160498064
3951.16,3719.592585232385
4628.94,9163.287965734338
16372.16,15444.209931031455
2467.2,1092.922049550556
192.76,833.9923746128217
58173.08,57641.892210368256
15528.78,17650.27493521228
36.0,328.496359031387
6516.61,6654.8174457803325
2697.27,1178.333705183587
1620.6,2192.361106049218
8521.71,11446.566889228108
10093.99,11738.504743613512
28358.39,44518.69135837152
34984.91,32219.63671242976
6990.27,8179.691183811003
0.5,144.4626773047907
36704.4,43874.33553776521
22575.56,21882.734007939405
426.4,334.1546283104681
2.5,384.44251745787665
6669.53,8237.547996208517
14449.35,13591.194722614619
32025.91,28076.623272694214
27054.13,29880.25974552879
67642.77,55764.77911826236
6194.03,11997.959447325411
663.76,1809.9085427922762
2517.05,2684.9945257510976
17538.97,53021.877001782756
13181.35,17008.94956702815
24035.38,21025.471155448486
187.03,1348.1667434166386
23295.54,18804.11476499789
4266.91,3949.333845333887
15403.4,22380.557160156914
17899.77,15069.162568009338
1029.03,1213.7534311612474
1065.88,1409.7127630274251
2284.19,2167.3505197468667
6101.78,6254.540623406881
11601.9,10299.456251299911
14261.56,18797.782310200902
3939.1,4733.693543830155
34915.74,33007.63744269083
1794.14,1702.1467871851128
573.94,2952.799623081917
20514.9,20543.66565524538
45716.93,18594.524825043212
961.48,550.5451165210054
4174.07,2735.034506634329
1291.0,1452.1753666833367
6308.79,7604.396868844906
1315.82,2442.5920413167287
10921.69,10246.740968404227
7154.5,7679.30304066105
1188.07,3273.7920297056507
5561.71,5181.933232939816
45267.42,42910.968002376634
14140.22,12387.467523574041
2707.61,3353.9048997060804
4051.62,4308.9544965299165
329.39,-391.9777450286467
135930.2,126912.29427134433
37914.15,35138.1818961414
36797.51,93882.10234195153
50603.89,56808.931844030696
3880.25,4879.564748778659
6234.82,7741.673474086827
3230.0,3389.2828499148604
16427.33,21996.300636655924
4714.36,3874.9858974850636
3702.45,4393.38432912866
2293.99,5632.505303528992
5628.28,4085.144396630037
95.55,9.204369836747839
22592.38,21359.62791394666
5.88,-108.89184051063324
1065.73,1299.9590082825432
10239.52,11643.094877281817
40925.76,38137.74584477463
